pair,direction,entry_date,exit_date,entry_price1,entry_price2,exit_price1,exit_price2,entry_zscore,exit_zscore,notional,hold_days,gross_pnl,total_costs,net_pnl,exit_reason
EEM_VWO,LONG_L1,2022-06-09,2022-06-24,38.0432,37.7513,37.1833,37.2204,-1.772,-0.766,68073.98,15,-574.75,76.29,-651.04,max_hold
EEM_VWO,LONG_L1,2022-06-10,2022-06-27,37.6224,37.4535,37.2291,37.2469,-2.834,-0.33,62856.43,17,-307.63,70.44,-378.08,max_hold
EEM_VWO,LONG_L1,2022-06-13,2022-06-28,36.3052,36.2363,37.0004,36.9998,-2.895,0.586,62102.79,15,-120.36,69.6,-189.96,max_hold
EEM_VWO,LONG_L1,2022-06-14,2022-06-29,36.8083,36.7617,36.854,36.9028,-2.22,0.527,57961.13,15,-157.99,64.96,-222.94,max_hold
EEM_VWO,LONG_L1,2023-02-15,2023-02-16,37.2486,37.3673,37.2579,37.2946,-1.642,-0.08,192349.58,1,472.6,215.67,256.93,reversion
EEM_VWO,LONG_L1,2023-03-01,2023-03-09,36.2642,36.5403,35.3263,35.7497,-1.611,0.115,205916.66,8,-100.8,230.89,-331.69,reversion
EEM_VWO,LONG_L1,2023-03-02,2023-03-09,36.3942,36.7039,35.3263,35.7497,-2.285,0.115,175312.89,7,258.12,196.56,61.56,reversion
EEM_VWO,LONG_L1,2023-04-06,2023-04-13,36.58,36.8214,37.0814,37.176,-2.564,-0.294,193928.2,7,584.13,217.44,366.69,reversion
EEM_VWO,SHORT_L1,2023-10-17,2023-11-01,35.603,36.0793,34.6671,35.222,2.286,-0.346,206649.71,15,-217.5,231.71,-449.21,max_hold
EEM_VWO,SHORT_L1,2023-10-18,2023-11-02,35.0602,35.4894,35.2754,35.7659,2.96,0.411,207996.44,15,560.78,233.22,327.55,max_hold
EEM_VWO,LONG_L1,2024-04-02,2024-04-17,39.3661,39.661,37.8689,38.5488,-1.75,-1.566,302699.19,15,-1000.56,339.49,-1340.06,max_hold
EEM_VWO,LONG_L1,2024-04-15,2024-04-22,38.403,38.9635,38.279,38.8693,-2.134,-0.201,244646.88,7,-268.82,274.35,-543.16,reversion
