pair,direction,entry_date,exit_date,entry_price1,entry_price2,exit_price1,exit_price2,entry_zscore,exit_zscore,notional,hold_days,gross_pnl,total_costs,net_pnl,exit_reason
GLD_IAU,LONG_L1,2021-04-06,2021-04-07,163.22,33.22,162.76,33.1,-1.779,-0.207,205988.53,1,-428.41,231.0,-659.42,reversion
GLD_IAU,LONG_L1,2021-05-10,2021-05-12,172.11,35.04,170.43,34.68,-1.643,-0.086,249260.35,2,-1916.44,279.57,-2196.0,reversion
GLD_IAU,SHORT_L1,2021-05-14,2021-05-17,172.69,35.12,174.7,35.56,2.194,0.139,271668.09,3,-2485.9,304.72,-2790.62,reversion
GLD_IAU,SHORT_L1,2021-05-18,2021-05-27,175.04,35.6,177.71,36.16,1.808,0.035,258331.12,9,-3127.52,289.75,-3417.27,reversion
GLD_IAU,SHORT_L1,2021-05-28,2021-06-02,178.38,36.26,178.77,36.37,1.943,-0.182,285182.33,5,-447.95,319.89,-767.84,reversion
GLD_IAU,LONG_L1,2021-06-30,2021-07-01,165.63,33.71,166.2,33.81,-2.023,0.15,182009.29,1,516.5,204.1,312.4,reversion
GLD_IAU,LONG_L1,2021-07-06,2021-07-09,168.12,34.22,169.21,34.43,-1.991,-0.189,198429.33,3,1038.82,222.52,816.3,reversion
GLD_IAU,LONG_L1,2021-07-08,2021-07-09,168.65,34.33,169.21,34.43,-1.782,-0.189,195323.51,1,532.91,219.04,313.87,reversion
GLD_IAU,SHORT_L1,2021-08-27,2021-08-30,170.19,34.62,169.35,34.46,1.57,0.265,203238.16,3,811.4,227.92,583.48,reversion
GLD_IAU,SHORT_L1,2021-09-09,2021-09-13,168.03,34.18,167.74,34.14,1.913,-0.165,225432.92,4,335.18,252.82,82.35,reversion
GLD_IAU,SHORT_L1,2021-09-30,2021-10-05,164.22,33.41,164.59,33.5,1.571,-0.067,219037.65,5,-373.1,245.65,-618.74,reversion
GLD_IAU,SHORT_L1,2021-11-04,2021-11-11,167.65,34.1,174.12,35.45,3.325,-0.018,255518.45,7,-7821.89,286.59,-8108.48,reversion
GLD_IAU,SHORT_L1,2021-11-05,2021-11-11,169.84,34.56,174.12,35.45,1.592,-0.018,246426.32,6,-4921.51,276.38,-5197.9,reversion
GLD_IAU,SHORT_L1,2021-11-12,2021-11-18,174.45,35.5,173.94,35.41,1.549,-0.008,249764.88,6,601.63,280.13,321.5,reversion
GLD_IAU,LONG_L1,2021-11-29,2021-12-02,166.62,33.94,165.24,33.64,-1.559,0.107,215870.14,3,-1399.84,242.09,-1641.93,reversion
GLD_IAU,LONG_L1,2022-01-18,2022-01-21,169.39,34.5,171.09,34.84,-1.601,0.059,276313.26,3,2220.22,309.93,1910.29,reversion
GLD_IAU,SHORT_L1,2022-01-24,2022-01-31,172.03,35.01,168.09,34.22,2.43,0.277,127744.61,7,2347.08,143.22,2203.86,reversion
GLD_IAU,LONG_L1,2022-01-27,2022-01-31,167.6,34.14,168.09,34.22,-1.996,0.277,113167.46,4,277.14,126.87,150.27,reversion
GLD_IAU,LONG_L1,2022-02-01,2022-02-02,168.23,34.27,168.84,34.38,-1.54,-0.074,218036.66,1,647.99,244.52,403.47,reversion
GLD_IAU,LONG_L1,2022-02-03,2022-02-04,168.6,34.36,168.86,34.39,-2.143,-0.14,241826.87,1,329.72,271.22,58.49,reversion
