pair,direction,entry_date,exit_date,entry_price1,entry_price2,exit_price1,exit_price2,entry_zscore,exit_zscore,notional,hold_days,gross_pnl,total_costs,net_pnl,exit_reason
SPY_INDA,LONG_L1,2021-06-18,2021-06-21,388.7961,40.9686,394.3621,41.5275,-2.207,0.116,400000.0,3,5535.02,448.18,5086.85,reversion
SPY_INDA,SHORT_L1,2021-06-22,2021-07-07,396.4704,41.4157,407.1058,41.2015,1.583,1.427,322164.6,15,-8695.48,360.95,-9056.44,max_hold
SPY_INDA,SHORT_L1,2021-07-01,2021-07-16,403.3295,41.0897,404.1822,41.2015,1.583,-1.121,254652.52,15,-467.81,285.3,-753.11,max_hold
SPY_INDA,LONG_L1,2021-09-14,2021-09-29,416.2045,45.9337,408.4006,45.6169,-1.655,-1.053,261935.7,15,-4867.91,293.46,-5161.37,max_hold
SPY_INDA,LONG_L1,2021-09-20,2021-10-01,408.0152,45.5331,408.2032,45.7846,-2.662,-0.031,156855.33,11,67.35,175.72,-108.37,reversion
SPY_INDA,LONG_L1,2021-11-16,2021-12-01,441.1421,46.8186,423.4882,44.3314,-1.507,-2.378,163108.81,15,-6075.15,182.73,-6257.88,max_hold
SPY_INDA,LONG_L1,2022-07-06,2022-07-13,364.226,39.7862,360.0254,39.1718,-1.574,-0.24,18444.64,7,-159.2,20.66,-179.86,reversion
SPY_INDA,LONG_L1,2022-08-02,2022-08-03,387.8045,42.8878,393.8773,42.8581,-2.207,0.241,125813.7,1,1980.29,140.94,1839.35,reversion
SPY_INDA,SHORT_L1,2022-08-12,2022-08-17,405.8994,43.3139,405.4716,43.6904,1.838,0.197,92110.35,5,176.16,103.18,72.98,reversion
SPY_INDA,SHORT_L1,2023-08-02,2023-08-17,434.7718,43.396,421.404,42.8897,2.545,-1.842,368818.03,15,10666.03,413.23,10252.8,max_hold
SPY_INDA,LONG_L1,2023-08-16,2023-08-31,424.6397,43.0486,434.9843,43.6542,-1.83,1.761,214521.96,15,4968.44,240.33,4728.1,max_hold
SPY_INDA,LONG_L1,2023-08-17,2023-09-01,421.404,42.8897,435.7957,43.9222,-1.842,1.135,193705.55,15,6175.66,217.01,5958.65,max_hold
SPY_INDA,LONG_L1,2023-08-18,2023-09-05,421.6069,43.0188,433.9122,44.0314,-1.601,0.286,155394.56,18,4140.99,174.08,3966.91,reversion
SPY_INDA,SHORT_L1,2024-03-12,2024-03-15,502.9393,51.3187,497.717,50.1571,1.897,0.23,160902.48,3,1376.89,180.26,1196.64,reversion
SPY_INDA,SHORT_L1,2024-03-13,2024-03-15,502.151,50.0678,497.717,50.1571,3.11,0.23,174771.31,2,1571.76,195.8,1375.96,reversion
SPY_INDA,LONG_L1,2024-07-26,2024-08-08,533.2195,56.4119,519.7137,55.3694,-2.382,0.105,141860.18,13,-3292.29,158.92,-3451.21,reversion
SPY_INDA,LONG_L1,2024-07-29,2024-08-08,533.5329,56.4317,519.7137,55.3694,-1.893,0.105,96561.88,10,-2301.33,108.17,-2409.5,reversion
SPY_INDA,LONG_L1,2024-07-30,2024-08-08,530.8298,56.4516,519.7137,55.3694,-1.97,0.105,90186.33,9,-1709.26,101.03,-1810.29,reversion
