pair,direction,entry_date,exit_date,entry_price1,entry_price2,exit_price1,exit_price2,entry_zscore,exit_zscore,notional,hold_days,gross_pnl,total_costs,net_pnl,exit_reason
EEM_INDA,SHORT_L1,2021-06-01,2021-06-03,49.8306,41.582,49.3768,41.8519,1.792,0.142,168447.9,2,1861.57,188.86,1672.72,reversion
EEM_INDA,SHORT_L1,2021-12-06,2021-12-14,44.0608,43.9122,43.9484,44.3451,2.464,0.223,89085.69,8,1003.08,99.85,903.23,reversion
EEM_INDA,SHORT_L1,2021-12-07,2021-12-14,44.7579,44.7041,43.9484,44.3451,1.897,0.223,174484.64,7,1960.33,195.63,1764.71,reversion
EEM_INDA,LONG_L1,2021-12-29,2022-01-07,44.0209,45.3354,44.3438,46.7029,-2.286,-0.074,206912.66,9,-3078.31,232.01,-3310.31,reversion
EEM_INDA,LONG_L1,2022-01-04,2022-01-07,44.4708,46.3462,44.3438,46.7029,-1.65,-0.074,217689.19,3,-1518.81,244.1,-1762.91,reversion
EEM_INDA,LONG_L1,2022-02-23,2022-03-07,43.0558,43.4724,38.9561,39.8159,-1.669,-0.186,73460.87,12,-4149.77,82.33,-4232.1,reversion
EEM_INDA,LONG_L1,2022-02-24,2022-03-07,42.167,42.2932,38.9561,39.8159,-1.854,-0.186,72059.31,11,-3241.52,80.76,-3322.29,reversion
EEM_INDA,LONG_L1,2022-02-25,2022-03-07,42.947,43.7004,38.9561,39.8159,-1.639,-0.186,69381.73,10,-2441.35,77.76,-2519.11,reversion
EEM_INDA,LONG_L1,2022-02-28,2022-03-07,42.3846,43.3535,38.9561,39.8159,-2.069,-0.186,67245.96,7,-1890.99,75.36,-1966.36,reversion
EEM_INDA,LONG_L1,2022-03-02,2022-03-07,41.8949,42.8977,38.9561,39.8159,-1.574,-0.186,76799.6,5,-721.73,86.08,-807.8,reversion
EEM_INDA,LONG_L1,2022-09-06,2022-09-21,35.0337,42.5211,33.9086,42.541,-2.022,-1.663,102099.55,15,-3334.84,114.44,-3449.28,max_hold
EEM_INDA,LONG_L1,2022-09-07,2022-09-22,35.3448,43.2148,33.744,42.1049,-2.001,-1.516,198846.84,15,-1975.52,222.96,-2198.48,max_hold
EEM_INDA,LONG_L1,2022-09-08,2022-09-23,35.1527,43.3932,32.9116,41.2032,-1.987,-1.907,192540.2,15,158.85,215.88,-57.03,max_hold
EEM_INDA,LONG_L1,2023-11-28,2023-12-13,37.166,45.1633,37.1005,47.6155,-1.65,1.542,185473.3,15,-20623.32,207.96,-20831.28,max_hold
EEM_INDA,LONG_L1,2023-11-29,2023-12-14,36.9508,45.3023,37.6434,48.0027,-2.08,2.295,186545.32,15,-18027.68,209.16,-18236.83,max_hold
EEM_INDA,LONG_L1,2023-11-30,2023-12-15,37.0257,45.6895,37.4187,47.9531,-2.075,1.412,186452.7,15,-13827.98,209.05,-14037.03,max_hold
