pair,direction,entry_date,exit_date,entry_price1,entry_price2,exit_price1,exit_price2,entry_zscore,exit_zscore,notional,hold_days,gross_pnl,total_costs,net_pnl,exit_reason
GLD_IGLD,LONG_L1,2021-09-27,2021-10-01,163.64,12.1119,164.59,12.1609,-1.9,-0.241,203510.15,4,1116.95,228.22,888.72,reversion
GLD_IGLD,LONG_L1,2021-09-30,2021-10-01,164.22,12.1628,164.59,12.1609,-1.92,-0.241,219037.65,1,496.14,245.65,250.5,reversion
GLD_IGLD,SHORT_L1,2021-10-14,2021-10-18,168.0,12.3601,164.92,12.1732,2.013,0.219,204120.74,4,3506.16,228.91,3277.25,reversion
GLD_IGLD,LONG_L1,2021-11-01,2021-11-04,167.52,12.3727,167.65,12.3542,-2.512,-0.159,262894.63,3,235.99,294.87,-58.88,reversion
GLD_IGLD,LONG_L1,2021-11-16,2021-11-18,172.92,12.7086,173.94,12.7431,-1.758,0.032,301654.44,2,1709.09,338.38,1370.71,reversion
GLD_IGLD,LONG_L1,2021-11-19,2021-11-30,172.61,12.7024,165.5,12.2445,-2.062,-0.162,280188.23,11,-10671.34,314.28,-10985.62,reversion
GLD_IGLD,SHORT_L1,2022-01-28,2022-02-02,167.1,12.2969,168.84,12.4475,2.332,0.093,106572.21,5,-998.74,119.47,-1118.21,reversion
GLD_IGLD,LONG_L1,2022-02-03,2022-02-07,168.6,12.4829,170.11,12.5451,-2.269,-0.162,241826.87,4,2068.03,271.22,1796.81,reversion
GLD_IGLD,LONG_L1,2022-02-04,2022-02-07,168.86,12.4954,170.11,12.5451,-1.735,-0.162,242506.07,3,1716.64,271.98,1444.66,reversion
GLD_IGLD,SHORT_L1,2022-02-11,2022-02-14,173.81,12.7127,174.74,12.8208,2.393,0.014,136248.44,3,-633.41,152.76,-786.17,reversion
GLD_IGLD,SHORT_L1,2022-03-16,2022-03-29,180.01,13.1241,179.14,13.1459,1.79,0.139,67187.16,13,333.76,75.3,258.45,reversion
GLD_IGLD,LONG_L1,2022-03-22,2022-03-29,179.36,13.1795,179.14,13.1459,-2.027,0.139,137600.5,7,-139.86,154.27,-294.13,reversion
GLD_IGLD,LONG_L1,2022-03-28,2022-03-29,179.06,13.1864,179.14,13.1459,-2.241,0.139,133993.76,1,94.03,150.23,-56.2,reversion
GLD_IGLD,LONG_L1,2022-06-01,2022-06-16,172.23,12.7627,172.69,12.8066,-1.835,-0.999,113126.07,15,272.23,126.82,145.41,max_hold
GLD_IGLD,SHORT_L1,2022-06-10,2022-06-23,174.54,12.8003,170.26,12.59,2.291,0.297,117364.8,13,2749.83,131.58,2618.26,reversion
GLD_IGLD,SHORT_L1,2022-08-04,2022-08-11,167.17,12.3335,166.34,12.3082,2.965,0.008,274873.51,7,1325.3,308.31,1016.99,reversion
GLD_IGLD,SHORT_L1,2022-09-02,2022-09-08,159.26,11.8133,158.98,11.852,2.686,0.089,138491.7,6,285.28,155.27,130.01,reversion
GLD_IGLD,LONG_L1,2022-10-20,2022-11-04,151.45,11.4147,156.47,11.6631,-2.26,1.704,83493.71,15,2612.19,93.59,2518.6,max_hold
GLD_IGLD,LONG_L1,2022-10-21,2022-11-07,154.15,11.5935,155.85,11.656,-1.839,0.455,83503.3,17,881.74,93.6,788.14,max_hold
GLD_IGLD,SHORT_L1,2022-11-03,2022-11-14,151.81,11.3736,164.92,12.1439,2.186,0.003,111073.97,11,-8888.03,124.52,-9012.55,reversion
GLD_IGLD,SHORT_L1,2022-11-04,2022-11-14,156.47,11.6631,164.92,12.1439,1.704,0.003,222136.74,10,-11177.27,249.12,-11426.39,reversion
GLD_IGLD,SHORT_L1,2022-11-08,2022-11-14,159.45,11.8435,164.92,12.1439,1.612,0.003,90424.02,6,-2897.3,101.36,-2998.66,reversion
GLD_IGLD,SHORT_L1,2022-11-10,2022-11-14,163.48,12.0315,164.92,12.1439,2.261,0.003,162338.98,4,-1290.04,182.03,-1472.07,reversion
GLD_IGLD,SHORT_L1,2022-12-02,2022-12-09,167.26,12.2113,167.06,12.2081,1.682,0.128,157262.6,7,184.03,176.33,7.7,reversion
GLD_IGLD,SHORT_L1,2022-12-12,2022-12-27,165.68,12.0983,168.67,12.2952,1.686,0.044,236897.94,15,-3832.89,265.69,-4098.58,reversion
GLD_IGLD,LONG_L1,2023-01-03,2023-01-05,171.06,12.5257,170.52,12.4381,-1.957,-0.171,199872.92,2,-501.62,224.14,-725.77,reversion
GLD_IGLD,SHORT_L1,2023-02-03,2023-02-06,173.46,12.5449,173.82,12.5815,1.544,0.172,194232.24,3,-347.6,217.81,-565.41,reversion
GLD_IGLD,SHORT_L1,2023-07-12,2023-07-19,181.88,12.9837,183.67,13.0713,1.587,-0.02,375151.18,7,-3492.3,420.9,-3913.2,reversion
GLD_IGLD,LONG_L1,2024-01-02,2024-01-04,190.72,13.483,189.32,13.3247,-1.688,-0.123,184462.35,2,-1195.71,206.85,-1402.56,reversion
GLD_IGLD,SHORT_L1,2024-01-24,2024-01-31,186.4,13.1137,188.45,13.3036,1.905,0.264,312967.86,7,-3043.02,351.08,-3394.1,reversion
GLD_IGLD,LONG_L1,2024-02-20,2024-02-21,187.47,13.2909,187.48,13.2271,-2.282,-0.215,313196.31,1,142.08,351.33,-209.25,reversion
GLD_IGLD,LONG_L1,2024-02-22,2024-02-23,187.56,13.2979,188.62,13.305,-2.022,-0.085,310872.54,1,1743.44,348.73,1394.72,reversion
GLD_IGLD,SHORT_L1,2024-03-04,2024-03-13,196.01,13.6557,201.19,13.8554,3.239,-0.204,279437.37,9,-7079.83,313.44,-7393.27,reversion
GLD_IGLD,SHORT_L1,2024-03-05,2024-03-13,197.19,13.6856,201.19,13.8554,2.379,-0.204,264412.87,8,-5087.46,296.57,-5384.03,reversion
