pair,direction,entry_date,exit_date,entry_price1,entry_price2,exit_price1,exit_price2,entry_zscore,exit_zscore,notional,hold_days,gross_pnl,total_costs,net_pnl,exit_reason
QQQ_QQQM,SHORT_L1,2021-04-27,2021-04-29,330.0919,135.326,330.1597,135.4229,2.178,0.217,191751.1,2,16.7,214.84,-198.14,reversion
QQQ_QQQM,SHORT_L1,2021-07-23,2021-08-02,357.7269,146.6854,354.2293,145.3372,1.59,-0.122,297999.37,10,1785.92,333.92,1452.0,reversion
QQQ_QQQM,SHORT_L1,2021-08-23,2021-08-27,362.6138,148.7613,365.3439,149.8962,1.991,0.096,329306.61,4,-1445.04,369.01,-1814.05,reversion
QQQ_QQQM,LONG_L1,2021-09-20,2021-09-27,355.6919,146.0478,360.2146,147.8151,-2.891,0.261,140197.07,7,1087.46,157.07,930.39,reversion
QQQ_QQQM,SHORT_L1,2021-09-21,2021-09-27,356.1296,146.0963,360.2146,147.8151,2.326,0.261,235101.32,6,-1552.67,263.43,-1816.1,reversion
QQQ_QQQM,SHORT_L1,2022-02-23,2022-03-02,320.814,131.6738,338.149,138.8373,1.565,-0.165,44866.01,7,-1417.66,50.26,-1467.92,reversion
QQQ_QQQM,SHORT_L1,2022-02-24,2022-03-02,331.5947,136.0477,338.149,138.8373,1.848,-0.165,44571.02,6,-504.6,49.93,-554.53,reversion
QQQ_QQQM,LONG_L1,2022-02-28,2022-03-02,337.7399,138.7887,338.149,138.8373,-2.164,-0.165,41473.21,2,44.25,46.46,-2.21,reversion
QQQ_QQQM,SHORT_L1,2022-03-09,2022-03-10,326.2385,133.8511,322.6157,132.4611,1.626,-0.105,46580.22,1,318.71,52.18,266.53,reversion
QQQ_QQQM,LONG_L1,2022-03-30,2022-04-04,357.9418,147.0145,360.0967,147.8126,-1.697,-0.086,89849.12,5,340.14,100.66,239.48,reversion
QQQ_QQQM,SHORT_L1,2022-03-31,2022-04-04,353.5052,144.9901,360.0967,147.8126,2.379,-0.086,89621.2,4,-954.52,100.4,-1054.92,reversion
QQQ_QQQM,LONG_L1,2022-04-11,2022-04-12,332.3948,136.5907,330.9906,135.8996,-2.183,0.102,102756.33,1,-219.97,115.12,-335.09,reversion
QQQ_QQQM,SHORT_L1,2022-05-11,2022-05-17,284.567,116.9011,298.54,122.624,1.755,0.127,36210.07,6,-1044.33,40.56,-1084.9,reversion
QQQ_QQQM,SHORT_L1,2022-05-13,2022-05-17,294.4154,120.7748,298.54,122.624,2.822,0.127,36541.33,4,-281.29,40.93,-322.22,reversion
QQQ_QQQM,LONG_L1,2022-06-24,2022-06-29,287.8203,118.3811,277.2594,113.8667,-2.421,0.196,38949.35,5,-817.24,43.63,-860.87,reversion
QQQ_QQQM,SHORT_L1,2022-06-30,2022-07-07,273.8205,112.326,288.1818,118.3031,1.887,0.282,39223.8,7,-1199.14,43.94,-1243.08,reversion
QQQ_QQQM,SHORT_L1,2022-08-03,2022-08-08,315.4485,129.4188,313.3188,128.6582,2.099,-0.25,113144.97,5,491.68,126.76,364.92,reversion
QQQ_QQQM,LONG_L1,2022-08-31,2022-09-06,292.3729,120.146,286.2962,117.6011,-2.041,0.071,54951.1,6,-663.97,61.56,-725.53,reversion
QQQ_QQQM,SHORT_L1,2022-09-08,2022-09-13,293.5941,120.536,286.9313,117.8253,1.51,0.21,113405.51,5,1524.53,127.05,1397.48,reversion
QQQ_QQQM,SHORT_L1,2022-09-09,2022-09-13,300.0127,123.1004,286.9313,117.8253,2.469,0.21,124345.45,4,3233.47,139.31,3094.16,reversion
QQQ_QQQM,SHORT_L1,2022-09-16,2022-09-20,282.6522,115.963,282.5827,116.0363,2.201,-0.2,47514.06,4,24.04,53.23,-29.19,reversion
