pair,direction,entry_date,exit_date,entry_price1,entry_price2,exit_price1,exit_price2,entry_zscore,exit_zscore,notional,hold_days,gross_pnl,total_costs,net_pnl,exit_reason
SPY_IVV,LONG_L1,2021-04-20,2021-04-27,384.9598,385.5888,389.9566,390.5366,-1.943,0.193,287146.2,7,43.26,321.71,-278.44,reversion
SPY_IVV,LONG_L1,2021-04-22,2021-04-27,385.0532,385.7378,389.9566,390.5366,-2.282,0.193,286472.44,5,84.71,320.95,-236.24,reversion
SPY_IVV,SHORT_L1,2021-05-13,2021-05-19,383.1945,383.7252,383.7362,384.3309,1.616,0.129,222594.63,6,39.07,249.38,-210.31,reversion
SPY_IVV,LONG_L1,2021-06-18,2021-06-23,388.796,389.4742,395.9925,396.6138,-2.01,-0.142,400000.0,5,117.32,448.17,-330.85,reversion
SPY_IVV,SHORT_L1,2021-07-06,2021-07-07,405.6721,406.071,407.1057,407.7344,2.662,-0.172,341504.79,1,189.53,382.62,-193.08,reversion
SPY_IVV,LONG_L1,2021-08-31,2021-09-02,423.1291,423.9949,424.6565,425.4528,-1.665,-0.079,350837.72,2,58.01,393.08,-335.07,reversion
SPY_IVV,LONG_L1,2021-09-10,2021-09-14,417.3945,418.229,416.2045,416.9673,-1.534,0.11,367500.42,4,51.85,411.75,-359.9,reversion
SPY_IVV,SHORT_L1,2021-10-22,2021-10-26,425.9511,426.7059,428.6208,429.4262,1.506,-0.009,208575.32,4,19.18,233.67,-214.49,reversion
SPY_IVV,SHORT_L1,2021-11-26,2021-12-02,431.4504,432.0904,429.9745,430.8147,2.68,0.0,200000.0,6,93.46,224.06,-130.6,reversion
SPY_IVV,LONG_L1,2021-11-30,2021-12-02,428.2449,429.2856,429.9745,430.8147,-3.103,0.0,135221.13,2,64.8,151.48,-86.68,reversion
SPY_IVV,LONG_L1,2021-12-17,2021-12-22,433.8152,434.8661,441.1921,442.0557,-1.978,0.144,159999.99,5,74.39,179.24,-104.86,reversion
SPY_IVV,SHORT_L1,2022-01-24,2022-01-27,414.9201,415.49,406.8073,407.6229,2.153,-0.116,100138.26,3,57.25,112.18,-54.93,reversion
SPY_IVV,LONG_L1,2022-01-26,2022-01-27,408.8261,409.7591,406.8073,407.6229,-1.541,-0.116,110124.21,1,31.61,123.36,-91.76,reversion
SPY_IVV,SHORT_L1,2022-02-23,2022-02-25,398.0437,398.5136,412.9485,413.6927,2.726,-0.266,67643.31,2,51.75,75.77,-24.02,reversion
SPY_IVV,LONG_L1,2022-02-28,2022-03-02,411.8919,412.855,413.0805,413.8714,-2.014,-0.169,60978.81,2,26.16,68.31,-42.15,reversion
SPY_IVV,LONG_L1,2022-03-23,2022-03-25,419.9562,421.0139,428.3686,429.2574,-1.915,0.106,118634.76,2,49.93,132.9,-82.97,reversion
SPY_IVV,LONG_L1,2022-04-21,2022-04-28,414.5246,415.5198,404.8254,405.6909,-1.865,0.068,178880.29,7,40.25,200.4,-160.15,reversion
SPY_IVV,SHORT_L1,2022-04-29,2022-05-02,389.8648,390.471,392.2115,392.9825,2.685,0.283,67200.32,3,28.71,75.28,-46.57,reversion
SPY_IVV,SHORT_L1,2022-05-04,2022-05-11,406.0082,406.6918,371.649,372.3713,1.629,0.191,59925.91,7,11.49,67.13,-55.64,reversion
SPY_IVV,LONG_L1,2022-05-06,2022-05-11,389.2402,390.1405,371.649,372.3713,-1.518,0.191,49907.86,5,17.94,55.9,-37.97,reversion
SPY_IVV,SHORT_L1,2022-05-12,2022-05-13,371.261,371.8236,380.1371,380.8876,1.606,-0.256,47523.16,1,22.65,53.23,-30.58,reversion
SPY_IVV,LONG_L1,2022-05-24,2022-05-26,372.7278,373.6553,383.5342,384.3339,-1.896,-0.229,42694.25,2,15.12,47.82,-32.71,reversion
SPY_IVV,LONG_L1,2022-05-25,2022-05-26,376.0208,376.9599,383.5342,384.3339,-1.646,-0.229,44299.32,1,15.91,49.62,-33.71,reversion
SPY_IVV,SHORT_L1,2022-06-13,2022-06-21,354.8526,355.2904,356.452,357.0709,2.294,0.116,50814.58,8,25.12,56.92,-31.8,reversion
SPY_IVV,LONG_L1,2022-07-22,2022-07-26,375.4782,376.231,371.4868,372.149,-2.074,-0.051,144359.49,4,38.91,161.72,-122.81,reversion
SPY_IVV,SHORT_L1,2022-08-26,2022-08-31,385.191,385.74,375.5638,376.1742,2.258,-0.054,89809.69,5,6.35,100.6,-94.25,reversion
SPY_IVV,SHORT_L1,2022-10-11,2022-10-13,341.3788,341.9006,349.2325,349.8688,1.774,-0.273,53295.3,2,22.3,59.7,-37.4,reversion
SPY_IVV,LONG_L1,2022-11-01,2022-11-03,366.934,367.7092,354.0419,354.6859,-1.914,-0.167,55053.06,2,22.06,61.67,-39.61,reversion
SPY_IVV,SHORT_L1,2022-11-30,2022-12-02,389.0349,389.6718,388.3001,389.0911,2.514,-0.172,114405.49,2,45.82,128.16,-82.34,reversion
SPY_IVV,SHORT_L1,2022-12-12,2022-12-15,380.7041,381.3228,371.8104,372.5974,2.06,-0.06,166657.84,3,61.7,186.7,-125.0,reversion
SPY_IVV,LONG_L1,2022-12-14,2022-12-15,381.1335,382.0629,371.8104,372.5974,-2.033,-0.06,163933.22,1,74.33,183.65,-109.32,reversion
SPY_IVV,LONG_L1,2022-12-22,2022-12-27,364.9762,365.809,365.6281,366.2966,-1.717,0.173,144903.7,5,65.71,162.33,-96.62,reversion
