pair,direction,entry_date,exit_date,entry_price1,entry_price2,exit_price1,exit_price2,entry_zscore,exit_zscore,notional,hold_days,gross_pnl,total_costs,net_pnl,exit_reason
XLK_INFY,SHORT_L1,2021-10-21,2021-11-05,76.778,20.8161,80.7,20.4422,1.736,1.446,146885.03,15,-7915.18,164.76,-8079.95,max_hold
XLK_INFY,SHORT_L1,2021-10-22,2021-11-08,76.5124,20.4604,81.1347,21.0252,1.801,0.961,150358.75,17,-8409.16,168.66,-8577.82,max_hold
XLK_INFY,SHORT_L1,2021-10-25,2021-11-09,76.7635,20.3892,80.8014,20.8996,1.771,0.627,149937.56,15,-7262.3,168.19,-7430.49,max_hold
XLK_INFY,SHORT_L1,2021-10-26,2021-11-10,76.9809,20.3525,79.4683,20.5947,1.69,-0.355,152662.65,15,-4626.83,171.25,-4798.08,max_hold
XLK_INFY,LONG_L1,2022-06-10,2022-06-24,63.5537,16.6254,64.866,16.9338,-2.423,-0.096,43123.9,14,734.53,48.34,686.2,reversion
XLK_INFY,LONG_L1,2022-06-13,2022-06-24,60.737,16.19,64.866,16.9338,-2.59,-0.096,40035.77,11,2276.4,44.88,2231.52,reversion
XLK_INFY,LONG_L1,2022-06-14,2022-06-24,61.12,16.5438,64.866,16.9338,-2.396,-0.096,38846.5,10,2110.91,43.54,2067.37,reversion
XLK_INFY,SHORT_L1,2022-07-12,2022-07-27,62.8245,16.5166,68.006,16.9701,1.951,1.33,41340.49,15,-3164.49,46.34,-3210.83,max_hold
XLK_INFY,SHORT_L1,2022-07-13,2022-07-28,62.6593,16.4259,69.0414,17.3691,1.772,1.21,44308.58,15,-3969.45,49.67,-4019.12,max_hold
XLK_INFY,SHORT_L1,2022-07-14,2022-07-29,63.2328,16.2354,70.101,17.6775,2.122,0.948,50888.16,15,-4637.92,57.05,-4694.97,max_hold
XLK_INFY,SHORT_L1,2023-10-09,2023-10-19,83.1622,16.4946,82.0163,15.8813,1.688,0.151,161815.02,10,1300.83,181.52,1119.3,reversion
XLK_INFY,SHORT_L1,2023-10-11,2023-10-19,84.0622,16.3645,82.0163,15.8813,1.995,0.151,172222.06,8,3476.56,193.21,3283.35,reversion
XLK_INFY,SHORT_L1,2023-10-12,2023-10-19,84.1409,15.2958,82.0163,15.8813,2.868,0.151,169293.57,7,5097.1,189.92,4907.18,reversion
XLK_INFY,SHORT_L1,2024-02-09,2024-02-14,102.4458,18.9219,100.9868,18.9973,1.717,-0.044,182782.43,5,2725.46,205.07,2520.4,reversion
XLK_INFY,LONG_L1,2024-02-21,2024-02-28,98.2117,18.6207,100.8981,18.7807,-1.518,0.273,178887.46,7,4829.46,200.69,4628.77,reversion
XLK_INFY,SHORT_L1,2024-03-01,2024-03-13,103.8851,18.6678,102.8894,18.2536,1.682,-0.136,167219.1,12,935.93,187.59,748.34,reversion
XLK_INFY,LONG_L1,2024-04-15,2024-04-23,99.4947,16.2578,97.3272,16.1543,-2.693,-0.288,193285.65,8,-4009.43,216.86,-4226.29,reversion
XLK_INFY,LONG_L1,2024-04-16,2024-04-23,99.6132,16.0507,97.3272,16.1543,-1.534,-0.288,186732.15,7,-4305.54,209.5,-4515.04,reversion
XLK_INFY,LONG_L1,2024-04-17,2024-04-23,98.1764,15.9566,97.3272,16.1543,-1.795,-0.288,188197.89,6,-1726.58,211.15,-1937.73,reversion
